rental_id,fk_rental_contact_id,price,duration_type,fitting_date,pick_up_date,due_date,user_signature,user_sign_date,parent_guardian_signature,parent_guardian_sign_date,pick_up_signature,pick_up_sign_date,rental_contact_initial,ski_technician_signature,assisting_staff_fullname
1,19,509.97,Season,1/8/2023,1/8/2023,5/1/2023 12:00,Rafael Lima,1/8/2023,Rafael Lima,1/8/2023,Rafael Lima,1/8/2023,RL,Riley Lathrop,Riley Lathrop
2,63,749.95,Season,2/9/2022,2/9/2022,5/1/2022 12:00,Christopher Wright,2/9/2022,Christopher Wright,2/9/2022,Christopher Wright,2/9/2022,CW,Razi Muzaffar,Razi Muzaffar
3,23,90,Daily,3/8/2022,3/8/2022,3/10/2022 12:00,Mustafa Amin,3/8/2022,Mustafa Amin,3/8/2022,Mustafa Amin,3/8/2022,MA,Razi Muzaffar,Razi Muzaffar
4,87,185,Daily,3/12/2022,3/12/2022,3/14/2022 12:00,Owen Wilson,3/12/2022,Owen Wilson,3/12/2022,Owen Wilson,3/12/2022,OW,Carter Ash,Carter Ash
5,95,269.98,Season,12/6/2021,12/6/2021,5/1/2022 12:00,Joshua Davis,12/6/2021,Joshua Davis,12/6/2021,Joshua Davis,12/6/2021,JD,Riley Lathrop,Riley Lathrop
6,51,210,Daily,1/20/2022,1/20/2022,1/22/2022 12:00,Maxim Kovalenko,1/20/2022,Maxim Kovalenko,1/20/2022,Maxim Kovalenko,1/20/2022,MK,Carter Ash,Carter Ash
7,56,80,Daily,2/26/2023,2/26/2023,2/28/2023 12:00,Olivia Clark,2/26/2023,Olivia Clark,2/26/2023,Olivia Clark,2/26/2023,OC,Nathan Giboney,Nathan Giboney
8,40,60,Daily,3/2/2023,3/6/2023,3/8/2023 17:00,Elijah Rivera,3/2/2023,Elijah Rivera,3/2/2023,Elijah Rivera,3/6/2023,ER,Razi Muzaffar,Razi Muzaffar
9,16,50,Daily,2/11/2020,2/11/2020,2/13/2020 12:00,Sophia Edwards,2/11/2020,Sophia Edwards,2/11/2020,Sophia Edwards,2/11/2020,SE,Riley Lathrop,Riley Lathrop
10,72,35,Daily,12/24/2019,12/24/2019,12/26/2019 12:00,Cameron Davis,12/24/2019,Cameron Davis,12/24/2019,Cameron Davis,12/24/2019,CD,Curtis Fountain,Curtis Fountain
11,99,279.99,Season,4/14/2020,4/19/2020,5/1/2020 12:00,Julia Scott,4/14/2020,Julia Scott,4/14/2020,Julia Scott,4/19/2020,JS,Jordan Weiss,Jordan Weiss
12,62,209.98,Season,1/4/2020,1/4/2020,5/1/2020 12:00,Layla Ahmed,1/4/2020,Layla Ahmed,1/4/2020,Layla Ahmed,1/4/2020,LA,Kevin Baron,Kevin Baron
13,69,130,Weekly,3/19/2022,3/19/2022,3/26/2022 12:00,Ashley Phillips,3/19/2022,Ashley Phillips,3/19/2022,Ashley Phillips,3/19/2022,AP,Bryce Peters,Bryce Peters
14,25,75,Daily,12/29/2022,12/29/2022,12/31/2022 12:00,Ruby Foster,12/29/2022,Ruby Foster,12/29/2022,Ruby Foster,12/29/2022,RF,Carter Ash,Carter Ash
15,24,199.99,Season,3/29/2023,3/29/2023,5/1/2023 12:00,Miguel Rodriguez,3/29/2023,Miguel Rodriguez,3/29/2023,Miguel Rodriguez,3/29/2023,MR,Jake Lathrop,Jake Lathrop
16,29,120,Daily,3/24/2022,3/24/2022,3/26/2022 12:00,Natalie Carter,3/24/2022,Natalie Carter,3/24/2022,Natalie Carter,3/24/2022,NC,Riley Lathrop,Riley Lathrop
17,14,409.98,Season,3/17/2022,3/17/2022,5/1/2022 12:00,Michael Anderson,3/17/2022,Michael Anderson,3/17/2022,Michael Anderson,3/17/2022,MA,Carter Ash,Carter Ash
18,56,65,Daily,2/27/2023,2/27/2023,3/1/2023 12:00,Olivia Clark,2/27/2023,Olivia Clark,2/27/2023,Olivia Clark,2/27/2023,OC,Jake Lathrop,Jake Lathrop
19,99,95,Daily,2/12/2022,2/12/2022,2/14/2022 12:00,Julia Scott,2/12/2022,Julia Scott,2/12/2022,Julia Scott,2/12/2022,JS,Nathan Giboney,Nathan Giboney
20,2,25,Daily,3/2/2020,3/2/2020,3/4/2020 12:00,Omar Ali,3/2/2020,Omar Ali,3/2/2020,Omar Ali,3/2/2020,OA,Curtis Fountain,Curtis Fountain
21,47,389.98,Season,2/5/2020,2/5/2020,5/1/2020 12:00,Emilia Rodriguez,2/5/2020,Emilia Rodriguez,2/5/2020,Emilia Rodriguez,2/5/2020,ER,Kevin Baron,Kevin Baron
22,36,119.99,Season,1/26/2021,1/26/2021,5/1/2021 12:00,Lila Patel,1/26/2021,Lila Patel,1/26/2021,Lila Patel,1/26/2021,LP,John Florendo,John Florendo
23,56,65,Daily,2/19/2023,2/19/2023,2/21/2023 12:00,Olivia Clark,2/19/2023,Olivia Clark,2/19/2023,Olivia Clark,2/19/2023,OC,Bryson Barradale,Bryson Barradale
