rental_contact_id,last_name,first_name,phone_number,email_address,drivers_license_no,street,city,state,zip_code
1,Johansson,Emma,(206) 678-9012,james@gmail.com,WDL-921-18-3633,7475 Ash Way,Mukilteo,WA,98037
2,Ali,Omar,(206) 765-4321,lisa@hotmail.com,WDL-573-20-3417,1415 Maple St,Mukilteo,WA,98155
3,Carter,Gabriel,(206) 234-9012,michael@yahoo.com,WDL-840-71-8221,9495 Walnut Blvd,Shoreline,WA,98133
4,Henderson,Ethan,(425) 876-5432,sara@outlook.com,WDLF290831944,2021 Hemlock St,Mountlake Terrace,WA,98036
5,Khan,Muhammad,(971) 329-6481,jason@gmail.com,WDLE904099986,7677 Fir Way,Lynnwood,WA,98177
6,Nguyen,James,(206) 678-9012,emily@hotmail.com,WDL-815-78-8004,7677 Fir Way,Lynnwood,WA,98087
7,Brown,Olivia,(425) 890-1234,john@yahoo.com,WDL-239-48-7752,2627 Ash St,Mukilteo,WA,98125
8,Brown,Brandon,(425) 234-9012,natalie@outlook.com,WDL-923-34-9921,4243 Birch Ave,Edmonds,WA,98020
9,Diaz,Giselle,(425) 678-9012,david@gmail.com,WDL-451-03-9312,5657 Elm Way,Mountlake Terrace,WA,98021
10,Martin,Christopher,(425) 432-1098,ashley@hotmail.com,WDL-678-46-7705,6869 Hemlock Way,Mountlake Terrace,WA,98011
11,Reed,Ethan,(206) 901-2345,william@yahoo.com,WDLB949362688,5657 Elm Way,Mountlake Terrace,WA,98012
12,Mitchell,Scarlett,(206) 890-1234,amanda@outlook.com,WDLH259701551,1819 Birch St,Edmonds,WA,98026
13,Moretti,Alessia,(425) 901-2345,robert@gmail.com,WDL-627-91-6732,123 Main St,Lynnwood,WA,98043
14,Anderson,Michael,(703) 635-4920,jessica@hotmail.com,WDL-124-54-0144,2829 Fir St,Lynnwood,WA,98208
15,Ahmed,Hiba,(206) 432-1098,richard@yahoo.com,WDLC338171426,8283 Oak Blvd,Shoreline,WA,98103
